year,title,keywords_list,producers_list,directors_list,writers_list,editing_list,cinematography_list,production_design_list,music_departments_list
1982,Mortuary,female full frontal nudity slasher stalker female nudity female star appears nude nude woman while lying on a slab dream like nightmare mortuary independent film psychotronic film slasher killer grindhouse film bloody violence trocar hooded killer sleepwalker hairy bush embalmed body traumatized paranoid warehouse fixation latex mask stalking cult film slasher horror mask masked killer gore maniac investigation blood cemetery splatter psychopath violence seance killing spree rampage surprise ending one word title supernatural power satanic cult black magic,"['Howard Avedis', 'Bernard Hodes', 'Ernest Kaye', 'Edward L. Montoro', 'Marlene Schmidt']",['Howard Avedis'],"['Howard Avedis', 'Marlene Schmidt']",['Stanford C. Allen'],['Gary Graver'],[],"['Bonnie Becker', 'John Cacavas', 'Terese Hanses', 'James D. Young']"
1932,Behind the Mask,bare chested male bondage deception psychotronic film bare chested male hairy chest undercover cemetery operating table heroin federal agent drug smuggling fiend hospital nurse slang murder weapon united states of america 1930s pre code film prohibition cigarette smoking short wave radio clinic prison guard creepy maid narcotics in coffin surgical mask remade twice damsel in distress empty coffin drug dealing drug dealer reference to friedrich nietzsche held at gunpoint answering machine murder secret service agent escape from prison police investigation doctors office operating room death on operating table,['Harry Cohn'],['John Francis Dillon'],"['Jo Swerling', 'Jo Swerling']",['Otis Garrett'],['Ted Tetzlaff'],[],[]
2009,I.Q.,student film,"['Aaron Keeling', 'Austin Keeling', 'Bobby Parsons']","['Aaron Keeling', 'Austin Keeling']","['Aaron Keeling', 'Austin Keeling', 'Bobby Parsons']",['Austin Keeling'],['Aaron Keeling'],"['Austin Keeling', 'Andrew Shafer']",[]
2006,Cemetery Gates,genetic female topless nudity female frontal nudity cemetery father son relationship birthday scientist smoking a joint experiment eco activist farting blood splatter gore drunk zombie makeup urination severed leg severed head high kiss ripped in half tunnel severed arm arm bitten off van tranquilizer gun creature feature shotgun heart ripped out dynamite stabbed in the eye regeneration explosion female nudity tasmanian devil juggalo mutation filmmaking surprise ending,"['David E. Allen', 'Harmon Kaslow', ""Brian Patrick O'Toole"", 'Paul Salamoff', 'Dennis Sugasawara']",['Roy Knyrim'],"['Pat Coburn', ""Brian Patrick O'Toole"", 'J. Victor Renaud']",['Christopher Roth'],['Steve Adcock'],['Mark Richardson'],[]
2008,The Echo,remake by original director police officer apartment fired from a job camera shot of feet mannequin ear bleeding male in a shower upright piano strange noise nightmare playing chess new job cut finger hole in wall parole horror movie remake remake of asian film remake remake of filipino film haunted apartment ghost ex convict domestic violence,"['Eric Bernt', 'Brendan Bragg', 'Don Carmody', 'Doug Davison', 'Elliot Ferwerda', 'Kimberly Fox', 'Hartley Gorenstein', 'Robert Hoff', 'Michael Kessler', 'Roy Lee', 'Tyler Mitchell', 'Shintaro Shimosawa', 'Will Wright', 'Irene Yeung']",['Yam Laranas'],"['Eric Bernt', 'Shintaro Shimosawa', 'Yam Laranas', 'Roy Iglesias']",['John Coniglio'],['Matthew Irving'],['Franco De Cotiis'],"['Kevin Banks', 'Amber Funk', 'Alex Todorov']"
2006,Header,based on novel murder of a nude woman murder of a police officer shooting a police officer female topless nudity murder nudity shocksploitation sex horror sex scene redneck police officer shot in the head police officer shot in the forehead police officer shot in the chest police officer female nudity sex eye for an eye cult film independent film based on comic,"['Michael Philip Anthony', 'Michael E. Kennedy']",['Archibald Flancranstin'],"['Michael E. Kennedy', 'Edward Lee']",['Archibald Flancranstin'],['Archibald Flancranstin'],['Christine DeCaires'],[]
1965,Frankenstein Meets the Spacemonster,bikini low budget film android nasa puerto rico rampage atomic age robot monster battle alien monster ray gun brain damage psychotronic film frankensteins monster space travel alien princess princess from outer space stock footage pointy ears low budget sci fi movie kennedy space center rocket launch mission to mars solo mission freeze frame press conference synthetic man reference to frankensteins monster artificial man artificially created man alien spaceship aborted mission robot mechanical man reference to frankenstein woman robot relationship spacesuit abducted woman moped creator creation relationship disfigured face disfigurement synthetic organism party kidnapping female captive female scientist us military caged monster helicopter jet fighter,"['Stanley P. Darer', 'Alan V. Iselin', 'Robert McCarty']",['Robert Gaffney'],"['R.H.W. Dillard', 'George Garrett', 'John Rodenbeck']",['Lawrence C. Keating'],['Saul Midwall'],[],[]
1974,Phase IV,arizona desert female feet bio dome arizona grenade launcher grenade lawn care arizona territory no music during end credits psychotronic film creature feature nature horror queen ant ant desert scientist biosphere sting colony dome lab chemical weapon death human versus animal nature run amok wild animal visit opening a door night tragedy intelligent animal title at the end no opening credits roman numeral in title cult film actual animal killed microphotography time lapse photography laboratory tower sterilization insecticide protective suit mantis typewriter ant colony super computer geodesic dome ant attack mutant,['Paul B. Radin'],['Saul Bass'],['Mayo Simon'],['Willy Kemplen'],['Dick Bush'],[],"['Desmond Briscoe', 'Brian Gascoigne', 'David Vorhaus', 'Stomu Yamashta', 'Dan Goldwasser']"
2001,Scary Movie 2,blow job catfight blue panties white panties scantily clad female red panties purple panties sex with a ghost urinating on the floor swarm of flies expanding breasts ass slapping underwear panties oral sex hand job female nudity vomiting cat black cat woman cat relationship angry cat 2000s psychotronic film reference to pubic hair gross out besteirol barefoot female man uses a wheelchair reference to calista flockhart marihuana slow motion scene timeframe 2000s gay character pooping parody comedy gay professor exorcism demon priest college haunted house second part deformed hand crashing through a window wheelchair jump hit by a falling chandelier human skeleton visible thong straps,"['Rick Alvarez', 'Eric L. Gold', 'Sue Jett', 'Tony Mark', 'Lee R. Mayes', 'Barry Rosenbush', 'Peter Schwerin', 'Lisa Strode', 'Marlon Wayans', 'Shawn Wayans', 'Bob Weinstein', 'Harvey Weinstein', 'Brad Weston']",['Keenen Ivory Wayans'],"['Shawn Wayans', 'Marlon Wayans', 'Buddy Johnson', 'Phil Beauman', 'Jason Friedberg', 'Aaron Seltzer', 'Shawn Wayans', 'Marlon Wayans', 'Alyson Fouse', 'Greg Grabianski', 'Dave Polsky', 'Michael Anthony Snowden', 'Craig Wayans']","['Thomas J. Nordberg', 'Richard Pearson', 'Peter Teschner']",['Steven Bernstein'],['Cynthia Charette'],"['Thomas Bartke', 'Suzanne Coffman', 'Wade Culbreath', 'Tim Davis', 'Kevin Dorsey', 'Mike Flicker', 'Zigmund Gron', 'Opie Gruves', 'Jeff Lingle', 'Guy Maeda', 'Darrin McCann', 'Randy Spendlove', 'Sally Stevens', 'Louise Di Tullio', 'John X Volaitis', 'James Walker', 'Bill Abbott', 'Marco Beltrami', 'George S. Clinton', 'George Doering', 'Rossano Galante', 'Rick Giovinazzo', 'M.B. Gordy', 'Benoit Grey', 'Christopher Guardino', 'Sean M. Hickey', 'Tom Hiel', 'Kevin Kliesch', 'John Kurlander', 'Edie Lehmann Boddicker', 'Norman Ludwin', 'Frank Macchia', 'Kevin Manthei', 'Michael McCuistion', 'Malcolm McNab', 'Denise Okimoto', 'Bryan Pezzone', 'Joe Rangel', 'John Rodd', 'Carlos Rodriguez', 'Buck Sanders', 'Derek Scouler', 'Dennis Smith', 'Ceiri Torjussen', 'James L. Venable', 'John Whynot']"
2009,Final Flesh,psychotronic film erotica male frontal nudity male explicit nudity male nudity female frontal nudity female nudity lesbian humiliation post apocalypse atomic bomb fetish satire death nonsense surrealism nuclear bomb role played by multiple actors thong,['Vernon Chatman'],['Ike Sanders'],['Vernon Chatman'],[],[],[],[]
1972,The Curse of the Alpha Stone,gay man losing heterosexual virginity gay man rapes woman female full frontal nudity hypnotism lesbian sex female nudity gay slur witchcraft rape lesbian independent film,['Jeffrey C. Hogue'],['Stewart Malleon'],[],[],[],[],[]
1984,Sole Survivor,undead female medium female protagonist female psychic suicide premonition sole survivor airplane crash fate suspense flash forward airplane crash survivor fear hospital psychic survival death of protagonist zombie ghost nightmare airplane accident disaster independent film surprise ending reanimated corpse female zombie on the run coroner skepticism taxi driver grim reaper pursuit death of best friend death of boyfriend shot to death razor mannequin telephone call female frontal nudity corpse helicopter doctor tragedy man and woman in a bed elevator parking garage female rear nudity bus female nudity female star appears nude,"['Don Barkemeyer', 'Caren L. Larkey', 'Robert D. Larkey', 'Sal Romeo', 'Dru White']",['Thom Eberhardt'],['Thom Eberhardt'],['Thom Eberhardt'],['Russell Carpenter'],[],[]
1967,Body of the Prey,nasa space sci fi psychotronic film downward spiral killer plant volcano topless swimming rocket scientist mood swing mad doctor japan homicide greenhouse goat falling over a cliff dog creature feature murder of a child botany bikini beach assistant angry mob venus flytrap giant plant man eating plant independent film,"[""Lawrence O'Neill"", 'Norman Earl Thomson']",['Norman Earl Thomson'],"['Norman Earl Thomson', 'Edward D. Wood Jr.', 'Edward D. Wood Jr.']",['Kenneth G. Crane'],['Arnold Dibble'],[],[]
1989,Curse II: The Bite,actual animal killed camera shot of a womans legs bare midriff hoop earrings snake brunette dream suv bird bird cage shooting a snake desert brunette woman strumming acoustic guitar boyfriend girlfriend relationship rural road slithering chicken wire fence jeep head out of the window of a moving vehicle driver passenger running over an animal black man camera shot of a girls legs chained animal training a gun on someone dog overalls legs girl in a towel part of trilogy sequel in name only cigarette smoking f word mexican mexican maid mexican woman mutation sword chase restroom axe murder attempt head ripped off head bashed in manipulation gas station,"['Ovidio G. Assonitis', 'Stefano Priori', 'Federico Prosperi', 'Kenichi Tominaga']",['Federico Prosperi'],"['Susan Zelouf', 'Federico Prosperi']",['Claudio M. Cutry'],"[""Roberto D'Ettorre Piazzoli""]",['Billy Jett'],"['Carlo Maria Cordio', 'Alex Michelson']"
1959,House on Haunted Hill,haunted mansion haunted house acid overnight in a haunted house breaking the fourth wall faked death animate skeleton husband wife relationship psychotronic film acid death body thrown in acid locked in adulterous wife hanged woman hanging public domain score employs electronic instruments grindhouse film low budget film chandelier ghost rational explanation for the seeming supernatural ambiguous ending fake skeleton vat of acid horror b movie wine cellar skeleton severed head cleavage fear pistol hearse dead rat rat trap bone coffin gun alliteration in title character credited as self remade horror movie remade four word title music score features piano music score features brass instruments music score features flute cigarette smoking party place name in title b movie,"['William Castle', 'Robb White']",['William Castle'],['Robb White'],['Roy V. Livingston'],['Carl E. Guthrie'],[],"['Von Dexter', 'Jerry Irvin']"
1990,Predator 2,alien city gang chase blood police station voodoo dreadlocks skull cemetery subway predator pistol spaceship reporter blockbuster cult film gang war news report sequel lasersight gunfight shootout gun battle street shootout police shootout showdown pregnancy dystopia dystopian sci fi drug lord extraterrestrial alien human prey humanoid alien human versus alien alien spacecraft los angeles california subway train urban setting predator chases prey hunting people liquid nitrogen invisibility cloak police detective los angeles police department government agent colombian drug cartel jamaican posse pheromones impalement,"['Terry Carr', 'John Davis', 'Lawrence Gordon', 'Tom Joyner', 'Lloyd Levin', 'Michael Levy', 'Joel Silver', 'Suzanne Todd']",['Stephen Hopkins'],"['Jim Thomas', 'John Thomas', 'Jim Thomas', 'John Thomas']","['Mark Goldblatt', 'Bert Lovitt']",['Peter Levy'],['Lawrence G. Paull'],"['Tom Boyd', 'Tom Brown', 'James B. Campbell', 'Jim Hoffman', 'Kenneth Karman', 'Hal Rayle', 'Dennis S. Sands', 'Norman B. Schwartz', 'Steven L. Smith', 'Harry E. Snodgrass', 'Jacqueline Tager', 'James Thatcher', 'Jack Sheldon']"
2003,The Cremaster Cycle,artist,"['Matthew Barney', 'Hervé Chandès', 'Barbara Gladstone', 'James Lingwood', 'Chelsea Romersa']",['Matthew Barney'],['Matthew Barney'],[],['Peter Strietmann'],[],[]
2009,Pandorum,spaceship survival future 31st century outer space survival horror mission trapped in space spaceship setting post apocalypse end of the world end of mankind flight crew suspense psycho thriller cult film playing god fear far future claustrophobia mutation mutant cannibalism tattoo spider handheld weapon tattooed arm communications device male corporal predator bladed weapon control console savage corporal audio communication weapon mechanical engineer young boy villain wrist mounted weapon exoplanet mutated human wrench male versus female weapons fire human bait planet viewed from outer space insect male engineer vault,"['Paul W.S. Anderson', 'Jeremy Bolt', 'Robert Kulzer', 'Astrid Kühberger', 'Travis Milloy', 'Dave Morrison', 'Martin Moszkowicz']",['Christian Alvart'],"['Travis Milloy', 'Travis Milloy', 'Christian Alvart']","['Philipp Stahl', 'Yvonne Valdez']",['Wedigo von Schultzendorff'],['Richard Bridgland'],"['Minna Aalto', 'Joris Bartsch Buhle', 'Christoph Becker', 'Michl Britsch', 'Mikael Carlsson', 'Martin Framke', 'Jan-Peter Klöpfel', 'Tobias Lehmann', 'Tom Russbueldt', 'Phillip Schulz', 'Natalie Suleiman', 'Florian Tessloff', 'Roman Vinuesa', 'Ama Walton', 'Hannah Weber']"
1962,Carnival of Souls,car accident b movie driving off a bridge carnival bridge spirit female protagonist car pulled out of water drag racing driving off a road organist amusement park hallucination surrealism drowning corpse blonde nervous breakdown gas station psychotronic film pipe organ salt lake city utah boarding house independent film zombie close up of eye ghost bathtub death flirting river fear coffee doctors office chase doctor church drunkenness screaming date neighbor dancing car falls into water purse minister car radio dress shop midnight movie phantasmagoria sole survivor,['Herk Harvey'],['Herk Harvey'],"['John Clifford', 'Herk Harvey']","['Bill de Jarnette', 'Dan Palmquist', 'Herbert L. Strock']",['Maurice Prather'],[],[]
2004,Zombie Honeymoon,vacation gone wrong human zombie romance human zombie relationship romzomcom zombie love honeymoon beach vegetarian hospital blood girl wears panties white panties panties woman painter wedding dress blood vomiting video store travel agent travel agency surfing shot in the stomach shot in the chest red wine red rose red dress police officer police car painter missing person meat life and death male female relationship juice jogging hospital bed hand bitten off guts friendship fake medium eaten alive dinner death of loved one death by bite crying coughing blood cooking cigarette smoking cannibal cannibalism,"['Steven C. Beer', 'Josh Blumenfeld', 'Sam Downey', 'Larry Fessenden', 'Sam Freeman', 'David Gebroe', 'Bret Harrison', 'Christina Reilly']",['David Gebroe'],['David Gebroe'],['Gordon Grinberg'],"['Thomas Browning Jr.', 'Ken Seng']",['Barbara Pietsch'],"['Lawrence Manchester', 'Brad Segal']"
2006,The Clique,truth or dare high school teenager clique gore blood splatter murder independent film,"['Loren Basulto', 'Betsy Fels', 'Monica Ortiz']",['David Basulto'],['Monica Ortiz'],"['David Basulto', 'Daniel Hashimoto']",['Tim van der Linden'],['Allison Saucy'],[]
1987,Street Trash,liquor junkyard pubic hair melting homelessness foot chase car money slum war veteran homeless person nightmare rape attempt penis cut off hitman flashback based on short film cash blood spatter vomiting dirt filth corruption alcohol alcoholism decadence drink drinking trash garbage mistreatment degradation moral corruption hostility drunkenness profanity poison poisoning tire abandoned car junk waste scum loss of control out of control mutilation paddy wagon father son relationship dirty face liquor store,"['Frank M. Farel', 'Roy Frumkes', 'Edward Muro Sr.', 'James Muro Sr.']",['J. Michael Muro'],"['Roy Frumkes', 'J. Michael Muro']",['Dennis Werner'],['David Sperling'],['Robert Marcucci'],['Jack Bashkow']
1995,Jack-O,halloween zombie reincarnation small town haunted house creature rivalry ghost curse psychotronic film female topless nudity shower scene supernatural ability stalker low budget film female rear nudity supernatural slasher jack o lantern killer supernatural serial killer holiday horror hockey mask homemade haunted house attraction toilet papering trick or treating prisoner costume princess costume dracula costume halloween costume pumpkin head gore slasher horror nudity buried alive scythe decapitation attempted child murder throat slit electrocution independent film slasher,"['Maxwell J. Beck', 'Steve Latshaw', 'John McCollister', 'Patrick Moran', 'Fred Olen Ray']",['Steve Latshaw'],"['Patrick Moran', 'Fred Olen Ray', 'Brad Linaweaver']",['Wayland Strickland'],['Maxwell J. Beck'],['Guillaume DeLouche'],[]
2001,WatchUsDie.com,slasher peeping tom female rear nudity female frontal nudity female nudity shower murder internet sitting slow motion woman shot in the forehead liquid villainess internet domain in title,"['Norman Rui', 'Keith W. Strandberg']",['Ryan Woo'],['Keith W. Strandberg'],['Hung Poon'],['John Huneck'],[],[]
2008,Echo,echo,"['Jennifer Ayala', 'Michael D. Burger', 'Michael Cantu', 'Shannon Collins']",['Mark Cantu'],"['Mark Cantu', 'Michael D. Burger', 'Michael Cantu', 'Jennifer Ayala']",['Mark Cantu'],[],[],[]
